tracking_id	FUNCTION	Sample_10.1_0	Sample_10.2_0	Sample_20.1_0	Sample_20.2_0	Sample_0.1_0	Sample_0.2_0
HWER_00001	Similar to CAT2 Carnitine O-acetyltransferase, mitochondrial (Candida tropicalis)	24.6303	21.5297	16.8509	16.3398	1.52309	3.5035
HWER_00002	Similar to MDH1 Malate dehydrogenase, mitochondrial (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	684.456	570.67	781.645	705.173	374.771	518.112
HWER_00003	Similar to exo70 Exocyst complex protein exo70 (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))	8.63084	10.0985	9.94017	8.99601	3.32176	4.5367
HWER_00004	Similar to PLA2G4F Cytosolic phospholipase A2 zeta (Homo sapiens)	13.6184	15.5183	14.0366	11.5861	2.95678	6.40047
HWER_00005	Similar to SPBC947.06c Uncharacterized MFS-type transporter C947.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	10.0428	10.5615	7.16369	7.7771	21.8002	28.6115
HWER_00006	Similar to SRP68 Signal recognition particle subunit SRP68 (Canis familiaris)	26.0614	24.8282	30.7169	30.0296	1.02997e-06	0.00320724
HWER_00007	Similar to met8 Siroheme biosynthesis protein met8 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	28.2411	24.3757	19.8304	18.9912	37.2223	32.4098
HWER_00008	Similar to PEP7 Vacuolar segregation protein PEP7 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	16.8637	16.9984	11.739	11.0961	13.9667	10.5476
HWER_00009	Similar to SPCC663.06c Uncharacterized oxidoreductase C663.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	24.8069	15.2745	14.2669	14.2811	16.1941	15.364
HWER_00010	Similar to nit-4 Nitrogen assimilation transcription factor nit-4 (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))	4.39286	4.34103	3.75004	2.95024	3.07214	2.68104
HWER_00011	Similar to qa-y Quinate permease (Neurospora africana)	3.36746	3.45502	2.67839	2.62526	7.20059	6.80665
HWER_00012	Similar to 2-pyrone-4,6-dicarbaxylate hydrolase (Comamonas testosteroni)	0.118421	0.135539	0.286855	0.383771	1.86496	0.312727
HWER_00013	Similar to JEN1 Carboxylic acid transporter protein homolog (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	0.274451	0.390874	3.18069	4.81694	8.01778	14.0884
HWER_00014	Similar to SPAC3H1.06c Uncharacterized transporter C3H1.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	19.5071	17.0211	12.5908	12.2194	9.27628	7.97397
HWER_00015	Similar to SPAC1002.16c Uncharacterized transporter C1002.16c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	5.13697	4.37269	3.39544	3.27699	4.68017	3.31365
HWER_00016	Similar to EMG1 Ribosomal RNA small subunit methyltransferase NEP1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	61.1054	52.1445	54.6775	54.1685	48.507	79.9642
HWER_00017	Similar to MIMI_R656 Uncharacterized protein R656 (Acanthamoeba polyphaga mimivirus)	0.797429	0.906416	0.802187	0.882132	2.67476	2.01084
HWER_00018	Protein of unknown function	0.939654	0.762446	2.55152	2.49487	1.08166	1.41556
HWER_00019	Similar to COG5 Conserved oligomeric Golgi complex subunit 5 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	9.26314	9.84823	10.1317	8.76122	4.81163	3.70432
HWER_00020	Protein of unknown function	33.3831	31.6086	24.6034	23.9324	50.9602	40.8154
HWER_00021	Protein of unknown function	18.4697	18.3489	12.5626	11.7768	4.87139	5.62252
HWER_00022	Similar to YVC1 Calcium channel YVC1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	14.0404	13.1396	12.9283	11.4679	8.44069	12.1087
HWER_00023	Similar to palB Calpain-like protease palB/RIM13 (Aspergillus oryzae (strain ATCC 42149 / RIB 40))	6.43901	6.21436	4.19999	4.31815	4.14029	2.84533
HWER_00024	Similar to ANT1 Peroxisomal adenine nucleotide transporter 1 (Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056))	10.7988	11.8196	8.04622	8.68037	22.9229	21.9286
HWER_00025	Protein of unknown function	122.641	125.495	138.483	135.193	326.868	323.002
HWER_00026	Similar to obp1 Oxysterol-binding protein-like protein 1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	84.9034	72.3707	42.7615	43.6898	21.672	29.8665
HWER_00027	Similar to sol1 SWI/SNF chromatin-remodeling complex subunit sol1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	28.0198	26.9406	24.5998	24.1883	26.5093	27.8985
HWER_00028	Similar to Protein disulfide-isomerase (Humicola insolens)	143.307	139.42	174.826	170.027	38.5761	44.8701
HWER_00029	Protein of unknown function	0.746219	0.786207	0.778721	0.839484	1.36783	0.716085
HWER_00030	Similar to TAN1 tRNA acetyltransferase TAN1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	8.3469	7.12327	4.80764	5.52858	19.1514	20.2451
HWER_00031	Similar to SPAC1039.06 D-serine dehydratase (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	8.50658	6.9778	5.21041	4.39254	9.4269	14.2154
HWER_00032	Protein of unknown function	1.08335e-07	7.17826e-08	8.06784e-07	4.24128e-07	2.38392e-07	1.66212e-08
HWER_00033	Protein of unknown function	34.7006	30.9773	16.4555	17.089	90.0586	76.5225
HWER_00034	Similar to pof7 F-box protein pof7 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	17.8167	14.8146	7.65395	8.37631	19.1919	22.0628
