#GENEID	CHROM	START	END	STRAND	RPKM0	RPKM10	RPKM20	GENEDESC
HWER_00001	unitig_0	22	2323	-	2.513295	14.0669	23.08	Similar to CAT2 Carnitine O-acetyltransferase, mitochondrial (Candida tropicalis)
HWER_00002	unitig_0	2508	3119	-	446.4415	601.284	627.563	Similar to MDH1 Malate dehydrogenase, mitochondrial (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00005	unitig_0	10714	17165	+	25.20585	19.32715	10.30215	Similar to SPBC947.06c Uncharacterized MFS-type transporter C947.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00007	unitig_0	17153	21078	-	34.81605	30.32545	26.3084	Similar to met8 Siroheme biosynthesis protein met8 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00011	unitig_0	28243	30239	-	7.00362	5.087055	3.41124	Similar to qa-y Quinate permease (Neurospora africana)
HWER_00017	unitig_0	52022	53465	+	2.3428	1.4041345	0.8519225	Similar to MIMI_R656 Uncharacterized protein R656 (Acanthamoeba polyphaga mimivirus)
HWER_00026	unitig_0	81267	84077	+	25.76925	57.38495	78.63705	Similar to obp1 Oxysterol-binding protein-like protein 1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00033	unitig_0	100599	103139	+	83.29055	55.61155	32.83895	Protein of unknown function
HWER_00057	unitig_0	175179	175640	+	12.2153	8.07257	5.091795	Similar to SPAC11D3.18c Uncharacterized transporter C11D3.18C (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00074	unitig_0	215590	217335	+	4.52297	3.116085	1.65522	Similar to fslK Frizzled and smoothened-like protein K (Dictyostelium discoideum)
HWER_00089	unitig_0	257148	258931	+	1235.615	715.815	363.114	Similar to hhoA Histone H1 (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))
HWER_00093	unitig_0	272462	272890	-	8.09777	29.7097	43.94315	Protein of unknown function
HWER_00101	unitig_0	293329	295332	-	3.29684	2.83685	1.71507	Similar to betA Oxygen-dependent choline dehydrogenase (Vibrio vulnificus (strain YJ016))
HWER_00105	unitig_0	309450	310784	-	8.337615	14.96158	20.906	Similar to APP1 Phosphatidate phosphatase APP1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00119	unitig_0	354243	356147	+	14.02225	19.0373	25.25225	Similar to atg4 Probable cysteine protease atg4 (Botryotinia fuckeliana (strain B05.10))
HWER_00120	unitig_0	356565	357713	-	3314.155	2174.785	1441.29	Similar to HTB1 Histone H2B (Coccidioides immitis (strain RS))
HWER_00121	unitig_0	357785	358891	+	5893.375	3470.125	1713.965	Similar to hta1 Histone H2A-alpha (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00122	unitig_0	358872	361247	-	112.2174	123.1635	115.201	Similar to kgd2 Probable dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00124	unitig_0	361984	363812	-	5.866775	3.068192	1.119187	Similar to bioF 8-amino-7-oxononanoate synthase (Myxococcus xanthus (strain DK 1622))
HWER_00127	unitig_0	375709	378339	-	5.376065	10.324335	14.8208	Protein of unknown function
HWER_00134	unitig_0	401226	403697	+	4.82985	17.29327	26.84585	Similar to chr4 Chitin synthase regulatory factor 4 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00159	unitig_0	468009	470023	-	15.10155	28.37345	41.11385	Similar to SLM5 Asparagine--tRNA ligase, mitochondrial (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00162	unitig_0	473632	475074	+	1.53281E-006	2.3780345E-005	2.559086E-005	Similar to MNS1 Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS1 (Arabidopsis thaliana)
HWER_00168	unitig_0	492129	493467	-	0.4591535	0.4932875	0.370797	Similar to melC2 Tyrosinase (Streptomyces lincolnensis)
HWER_00180	unitig_0	528340	536655	+	13.68055	13.26445	11.1752	Similar to VPS41 Vacuolar protein sorting-associated protein 41 homolog (Solanum lycopersicum)
HWER_00186	unitig_0	544327	546017	+	10.503085	32.79955	45.6485	Protein of unknown function
HWER_00192	unitig_0	559560	562322	-	4.48509	10.58114	16.24015	Similar to Gtpbp2 GTP-binding protein 2 (Mus musculus)
HWER_00202	unitig_0	602114	603148	+	5.201195E-007	7.2867504621	11.223145	Similar to SPBC21B10.07 Probable glycosidase C21B10.07 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00206	unitig_0	613690	615931	-	2.961285	2.694345	2.532155	Similar to Hephl1 Hephaestin-like protein 1 (Mus musculus)
HWER_00218	unitig_0	657139	658725	-	5.128415	4.939255	6.14273	Similar to uch2 Ubiquitin carboxyl-terminal hydrolase isozyme L5 (Dictyostelium discoideum)
HWER_00230	unitig_0	690470	695650	-	44.2326	57.06815	65.42205	Similar to casA Metacaspase-1A (Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1))
HWER_00245	unitig_0	738078	742426	+	35.456	29.57905	25.4947	Similar to YMC1 Carrier protein YMC1, mitochondrial (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00254	unitig_0	763649	765352	+	157.995	151.1585	132.358	Similar to nuo40 NADH-ubiquinone oxidoreductase 40 kDa subunit, mitochondrial (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))
HWER_00256	unitig_0	767921	768912	+	2.06153	1.857045	3.061155	Protein of unknown function
HWER_00267	unitig_1	585	5453	+	5.60741	5.917975	6.22769	Similar to LTE1 Guanine nucleotide exchange factor LTE1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00303	unitig_1	121289	125193	+	8.784985	5.00748	2.74048	Similar to T Tyrosinase (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))
HWER_00306	unitig_1	128333	128983	+	10.937935	44.493435	83.697	Similar to hsp30 30 kDa heat shock protein (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))
HWER_00314	unitig_1	153900	154403	-	0.481291	1.966516	3.37099	Protein of unknown function
HWER_00317	unitig_1	165490	167658	+	32.4962	35.01185	34.9532	Protein of unknown function
HWER_00327	unitig_1	192091	192832	+	44.5535	51.44725	54.2695	Protein of unknown function
HWER_00345	unitig_1	247401	249713	-	4.5278	7.448315	9.380875	Protein of unknown function
HWER_00346	unitig_1	250063	250917	-	0.740882	3.549072	5.716235	Similar to RRT8 Regulator of rDNA transcription protein 8 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00348	unitig_1	257681	262272	+	29.3734	36.6033	45.59425	Similar to SPBPJ4664.04 Putative coatomer subunit alpha (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00357	unitig_1	282277	285651	-	0.482946	0.5509625	0.4876495	Protein of unknown function
HWER_00358	unitig_1	286848	291201	+	9.06095	9.495245	8.772585	Similar to cps3 Protein cps3 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00361	unitig_1	294347	297475	+	26.10725	21.0439	22.41645	Similar to SPAC17A2.14 Putative metal ion transporter C17A12.14 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00369	unitig_1	326839	328269	-	8.695985	17.60166	27.06795	Protein of unknown function
HWER_00374	unitig_1	340244	342706	+	51.703	114.9006	155.1155	Similar to hxkA Hexokinase (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))
HWER_00380	unitig_1	358416	363264	-	30.43985	22.7998	18.1241	Similar to CYB561 Cytochrome b561 (Pongo abelii)
HWER_00401	unitig_1	434625	438111	+	33.89495	43.67545	49.97355	Similar to SEC24 Protein transport protein SEC24 (Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970))
HWER_00407	unitig_1	459976	461933	+	7.231105	6.495455	4.998595	Protein of unknown function
HWER_00411	unitig_1	471757	474708	+	1.30705	0.791796	0.6002495	Similar to AOX1 Alcohol oxidase 1 (Komagataella pastoris (strain GS115 / ATCC 20864))
HWER_00419	unitig_1	495534	498175	+	1.37191	1.052335	1.32948	Protein of unknown function
HWER_00430	unitig_1	561094	563023	+	114.8152	63.7943	29.42195	Protein of unknown function
HWER_00432	unitig_1	569594	571136	+	46.3899	97.6889	132.7985	Similar to LSP1 Sphingolipid long chain base-responsive protein LSP1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00437	unitig_1	585076	588313	+	71.83155	59.64825	38.27315	Similar to cbs-2 Putative serine hydroxymethyltransferase, mitochondrial (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))
HWER_00441	unitig_1	595581	597207	+	135.841	84.646	53.09135	Protein of unknown function
HWER_00442	unitig_1	597974	599468	+	72.98215	285.24925	461.415	Similar to MIMI_R614 Putative band 7 family protein R614 (Acanthamoeba polyphaga mimivirus)
HWER_00462	unitig_1	655891	656867	+	96.19215	95.06955	93.3034	Protein of unknown function
HWER_00464	unitig_1	659755	661828	+	15.43435	9.307995	5.98461	Similar to SPAC8C9.19 UPF0618 protein C8C9.19 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00466	unitig_1	664105	668027	+	37.32195	39.286	39.3509	Similar to tpsA Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 1 (Aspergillus niger)
HWER_00467	unitig_1	668252	669097	-	5.23843	3.543105	3.677035	Protein of unknown function
HWER_00474	unitig_1	683553	684611	+	11.032585	25.54975	36.1335	Protein of unknown function
HWER_00482	unitig_1	704689	706006	-	88.5822	68.63625	55.18145	Similar to rsm18 37S ribosomal protein rsm18, mitochondrial (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00483	unitig_1	706345	708738	+	5.54603	12.407175	18.556	Similar to cia84 Complex I intermediate-associated protein 84, mitochondrial (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))
HWER_01540	unitig_10	7990	11734	-	4.44856	12.41094	21.084	Similar to ptpA1-1 Tyrosine-protein phosphatase 1 (Dictyostelium discoideum)
HWER_01541	unitig_10	12566	13670	-	1.0059775	1.085485	1.15588	Similar to attM N-acyl homoserine lactonase AttM (Rhizobium leguminosarum bv. viciae (strain 3841))
HWER_01547	unitig_10	22466	25317	+	1.1002345	1.3063245	1.79367	Protein of unknown function
HWER_01548	unitig_10	36399	38643	+	6.097865	9.25413	12.56285	Protein of unknown function
HWER_01555	unitig_10	58689	61265	-	6.895755	28.847615	47.38035	Similar to mug80 Meiotically up-regulated gene 80 protein (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_01560	unitig_10	76676	78365	-	0.5205635	0.393007	0.2122035	Similar to CES4A Carboxylesterase 4A (Homo sapiens)
HWER_01567	unitig_10	93785	95266	+	29.35485	32.6721	32.55105	Similar to SPCC126.11c Uncharacterized RNA-binding protein C126.11c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_01574	unitig_10	111106	113465	-	6.01696	5.459425	6.46659	Protein of unknown function
HWER_01583	unitig_10	138342	142782	+	6.029855	11.11451	14.1334	Similar to nst1 Stress response protein nst1 (Aspergillus niger (strain CBS 513.88 / FGSC A1513))
HWER_01587	unitig_10	153098	157284	-	0.772727	2.176408	3.24776	Similar to WWOX WW domain-containing oxidoreductase (Gallus gallus)
HWER_01597	unitig_10	189951	191851	+	30.03305	11.49581	3.33683	Protein of unknown function
HWER_01607	unitig_10	222992	226390	+	6.868075	5.345155	4.011725	Similar to rha1 Rhamnogalacturonan acetylesterase (Aspergillus aculeatus)
HWER_01615	unitig_10	247329	249442	-	0.18918325	0.11070175	0.211169	Similar to MSDC Mannosyl-oligosaccharide alpha-1,2-mannosidase (Penicillium citrinum)
HWER_01616	unitig_10	252933	254955	-	48.6744	37.13505	29.71845	Protein of unknown function
HWER_01627	unitig_10	278743	282393	-	2.897135	7.596915	12.02165	Similar to ROG1 Putative lipase ROG1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_01631	unitig_10	286944	288029	+	5.727695	4.868205	4.15499	Similar to xgeA Probable xyloglucan-specific endo-beta-1,4-glucanase A (Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100))
HWER_01632	unitig_10	288335	292126	-	73.407	169.47575	237.131	Similar to ish1 Stress response protein ish1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_01641	unitig_10	316098	331313	-	5.9262	3.945839	1.269814	Similar to sib1 Hydroxamate-type ferrichrome siderophore peptide synthetase (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_01647	unitig_10	346621	348657	+	4.091325	8.406415	11.39805	Similar to THOC1 THO complex subunit 1 (Homo sapiens)
HWER_15645	unitig_100	23655	24404	+	20.95485	29.143	36.29975	Protein of unknown function
HWER_08401	unitig_101	11483	12481	-	10.49529	7.31987	5.368805	Protein of unknown function
HWER_08404	unitig_101	18290	19156	-	32.2537	36.719	43.37485	Similar to PIB2 Phosphatidylinositol 3-phosphate-binding protein 2 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_08421	unitig_101	71573	72553	+	3.879945	7.643785	11.8427	Protein of unknown function
HWER_08431	unitig_101	91960	93922	-	26.418	28.2419	29.29315	Protein of unknown function
HWER_08433	unitig_101	94034	98366	+	15.89335	16.05525	16.74135	Similar to elo-3 Putative fatty acid elongation protein 3 (Caenorhabditis elegans)
HWER_08434	unitig_101	99012	99911	+	2.127025	4.24336	6.864575	Similar to MSBP2 Membrane steroid-binding protein 2 (Arabidopsis thaliana)
HWER_08441	unitig_101	112254	113932	-	1068.015	889.762	640.0395	Similar to MIR1 Mitochondrial phosphate carrier protein (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_08445	unitig_101	123700	129757	+	17.13315	9.007405	4.296425	Protein of unknown function
HWER_08446	unitig_101	130300	131289	-	7.753175	3.382364	0.4525895	Similar to PFF0285c Probable DNA repair protein RAD50 (Plasmodium falciparum (isolate 3D7))
HWER_09878	unitig_102	2774	3597	+	101.8829	120.0714	146.676	Protein of unknown function
HWER_09881	unitig_102	9814	10638	-	0.577613	1.239029	2.516635	Similar to styx-b Serine/threonine/tyrosine-interacting protein B (Xenopus laevis)
HWER_09884	unitig_102	22795	23732	+	334.935	198.686	163.6445	Protein of unknown function
HWER_09899	unitig_102	67627	69384	+	6.100185	5.298725	7.05513	Similar to scn1 Cut9-interacting protein scn1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_09900	unitig_102	69462	72066	-	65.22955	102.5748	128.522	Similar to tts1 Tetra-spanning protein 1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_09908	unitig_102	95073	96598	-	3.669045	2.93779	2.15089	Similar to celC Endoglucanase C (Clostridium thermocellum (strain ATCC 27405 / DSM 1237))
HWER_11139	unitig_103	34111	35448	-	1.51239265E-005	2.1017897913	4.70172	Protein of unknown function
HWER_11153	unitig_103	70339	71827	+	33.57185	48.09375	52.0741	Similar to rot1 Protein rot1 (Aspergillus terreus (strain NIH 2624 / FGSC A1156))
HWER_11154	unitig_103	73696	75450	-	0.5787225	0.490579	0.597226	Protein of unknown function
HWER_06384	unitig_104	18843	20953	+	1.26168	1.047009	0.8046945	Similar to Putative endoglucanase type K (Fusarium oxysporum)
HWER_06387	unitig_104	36319	37659	+	1.030675	2.665405	3.754355	Similar to Rv1260 Uncharacterized protein Rv1260 (Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv))
HWER_06414	unitig_104	109704	110738	-	7.36853	8.213915	6.45169	Similar to YDL144C Uncharacterized protein YDL144C (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_06418	unitig_104	119369	120064	+	8.04244E-007	0.7077000873	1.163415	Similar to SPAC1399.05c Uncharacterized transcriptional regulatory protein C1399.05c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_06430	unitig_104	149450	150139	+	118.5019	84.3065	98.8491	Protein of unknown function
HWER_06433	unitig_104	154129	157532	-	7.71225	6.06214	5.111195	Protein of unknown function
HWER_06435	unitig_104	158568	161427	-	13.62585	11.32795	10.14995	Similar to ure1 Urease (Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100))
HWER_06436	unitig_104	161452	163235	-	73.50255	60.94625	53.00815	Similar to HMO1 High mobility group protein 1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_06437	unitig_104	163413	164550	-	87.16285	72.61595	71.774	Similar to YBL029C-A UPF0768 protein YBL029C-A (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_06438	unitig_104	164596	165616	-	417.7055	251.5065	110.1875	Similar to nudG Dynein light chain, cytoplasmic (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))
HWER_06439	unitig_104	165669	169302	+	20.66955	14.66465	10.2517	Similar to mrd1 Multiple RNA-binding domain-containing protein 1 (Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100))
HWER_06440	unitig_104	169480	172046	+	17.0655	11.407665	6.59525	Similar to abaA Regulatory protein abaA (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))
HWER_06444	unitig_104	178813	180681	-	20.94475	40.79265	55.2239	Protein of unknown function
HWER_08862	unitig_105	22345	23775	+	70.28685	137.9009	187.1235	Similar to GHITM Growth hormone-inducible transmembrane protein (Homo sapiens)
HWER_08879	unitig_105	89209	89851	+	3.296355	12.249755	17.2891	Protein of unknown function
HWER_08888	unitig_105	138669	142211	-	6.161245	5.701725	5.310365	Similar to mnl1 ER degradation-enhancing alpha-mannosidase-like protein 1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_08889	unitig_105	143114	144170	+	5.227985	22.780175	32.94835	Similar to tim50 Mitochondrial import inner membrane translocase subunit tim50 (Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100))
HWER_10078	unitig_106	20640	23073	+	1.45148	2.38161	4.29961	Similar to qa-y Quinate permease (Neurospora terricola)
HWER_10093	unitig_106	56019	58341	+	33.29875	19.01667	9.21307	Similar to SOD4 Cell surface superoxide dismutase [Cu-Zn] 4 (Candida albicans (strain SC5314 / ATCC MYA-2876))
