#GENEID	CHROM	START	END	STRAND	RPKM0	RPKM10	RPKM20	GENEDESC
HWER_00009	unitig_0	24668	25423	-	15.77905	20.08545	20.0407	Similar to SPCC663.06c Uncharacterized oxidoreductase C663.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00010	unitig_0	25973	28727	+	2.87659	3.53695	4.366945	Similar to nit-4 Nitrogen assimilation transcription factor nit-4 (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))
HWER_00020	unitig_0	60358	63693	-	45.8878	37.09925	32.49585	Protein of unknown function
HWER_00022	unitig_0	67158	69651	+	10.274695	13.07455	13.59	Similar to YVC1 Calcium channel YVC1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00023	unitig_0	69643	72807	-	3.49281	4.64217	6.326685	Similar to palB Calpain-like protease palB/RIM13 (Aspergillus oryzae (strain ATCC 42149 / RIB 40))
HWER_00025	unitig_0	74319	75090	-	324.935	222.8215	124.068	Protein of unknown function
HWER_00030	unitig_0	95068	96782	-	19.69825	14.296	7.735085	Similar to TAN1 tRNA acetyltransferase TAN1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00031	unitig_0	96910	100369	+	11.82115	11.36099	7.74219	Similar to SPAC1039.06 D-serine dehydratase (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00039	unitig_0	116175	118203	+	9.667555	7.18802	7.012775	Similar to CTS1 Endochitinase 1 (Coccidioides immitis (strain RS))
HWER_00043	unitig_0	126718	133914	-	4.046135	4.92162	5.31397	Similar to rqh1 ATP-dependent DNA helicase hus2/rqh1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00050	unitig_0	152505	153716	-	309.562	202.097	114.124	Similar to NDUFA13 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Bos taurus)
HWER_00053	unitig_0	163339	164745	+	20.1044	17.56925	16.40385	Protein of unknown function
HWER_00054	unitig_0	164819	165384	-	3.20176	7.98531	11.9971	Similar to lyrm5a LYR motif-containing protein 5A (Danio rerio)
HWER_00058	unitig_0	176004	178683	+	2.775505E-006	0.7161170677	1.43122	Protein of unknown function
HWER_00063	unitig_0	187845	192347	-	33.47345	22.2198	16.90845	Similar to wc-1 White collar 1 protein (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))
HWER_00064	unitig_0	192771	193726	-	18.9141	17.67665	16.9522	Protein of unknown function
HWER_00068	unitig_0	202085	203424	-	15.33525	48.153	72.74295	Protein of unknown function
HWER_00070	unitig_0	204935	207614	-	17.38635	42.21305	59.851	Similar to SPAC3H8.02 CRAL-TRIO domain-containing protein C3H8.02 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00071	unitig_0	206925	209524	+	9.61303	11.017	11.58855	Similar to DAM1 DASH complex subunit DAM1 (Yarrowia lipolytica (strain CLIB 122 / E 150))
HWER_00077	unitig_0	220433	225852	-	5.00089	3.94368	3.070765	Similar to tgs1 Trimethylguanosine synthase (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00080	unitig_0	231579	234356	-	22.9563	18.19825	17.38495	Similar to dip1 Protein dip1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00084	unitig_0	243355	245346	-	46.7563	49.2432	46.23975	Similar to arp4 Actin-related protein 4 (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))
HWER_00085	unitig_0	245506	247459	+	20.81125	15.06445	12.35625	Similar to GUP1 Glycerol uptake protein 1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00092	unitig_0	269356	271369	-	1.132825	3.190595	5.30453	Similar to FLCY Farnesylcysteine lyase (Arabidopsis thaliana)
HWER_00095	unitig_0	279544	280616	-	54.5817	35.6283	27.78085	Similar to YKE2 Prefoldin subunit 6 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00103	unitig_0	306439	307618	-	109.88565	68.5539	43.76085	Similar to smd1 Small nuclear ribonucleoprotein Sm D1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00107	unitig_0	311962	313954	+	34.62775	35.4256	36.4177	Similar to cmk1 Calcium/calmodulin-dependent protein kinase type I (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00109	unitig_0	316738	317397	+	2.811505E-007	6.03524E-007	7.377175E-007	Protein of unknown function
HWER_00116	unitig_0	343531	348068	-	10.8548	7.39126	3.83833	Similar to RDR1 RNA-dependent RNA polymerase 1 (Arabidopsis thaliana)
HWER_00118	unitig_0	351045	354161	-	7.007945	14.037495	22.2419	Similar to SQS1 Protein SQS1 (Podospora anserina)
HWER_00129	unitig_0	383016	386405	+	27.43345	31.7495	42.17945	Similar to SLM1 Phosphatidylinositol 4,5-bisphosphate-binding protein SLM1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00131	unitig_0	390926	393694	-	30.7138	51.51945	63.4047	Similar to GGA2 ADP-ribosylation factor-binding protein GGA2 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00136	unitig_0	405247	409355	-	0.74699	0.4946505	0.340144	Similar to afcA Alpha-fucosidase A (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))
HWER_00137	unitig_0	409494	412995	+	39.0771	30.6187	23.59345	Similar to MDM35 Mitochondrial distribution and morphology protein 35 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00144	unitig_0	431269	433258	+	1.041629	0.973889	1.624815	Similar to grc3 Polynucleotide 5'-hydroxyl-kinase grc3 (Aspergillus niger (strain CBS 513.88 / FGSC A1513))
