#GENEID	CHROM	START	END	STRAND	RPKM0	RPKM10	RPKM20	GENEDESC
HWER_00006	unitig_0	15074	16999	-	0.001604135	13.03230362	25.4448	Similar to SRP68 Signal recognition particle subunit SRP68 (Canis familiaris)
HWER_00013	unitig_0	32002	33665	-	11.05309	7.1814255	0.3326625	Similar to JEN1 Carboxylic acid transporter protein homolog (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00016	unitig_0	49644	50357	+	64.2356	70.5348	56.62495	Similar to EMG1 Ribosomal RNA small subunit methyltransferase NEP1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00021	unitig_0	64469	66463	+	5.246955	12.04611	18.4093	Protein of unknown function
HWER_00051	unitig_0	153898	155370	+	13.3287	15.50765	16.83405	Similar to trm10 tRNA (guanine(9)-N1)-methyltransferase (Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100))
HWER_00059	unitig_0	177382	181783	-	8.150385	5.223255	4.05693	Similar to PPR1 Pyrimidine pathway regulatory protein 1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00060	unitig_0	182126	183442	-	8.849465	5.58292	3.367955	Similar to gnl Gluconolactonase (Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4))
HWER_00069	unitig_0	203616	204686	+	4.96756	15.385135	23.1463	Similar to Zswim2 E3 ubiquitin-protein ligase Zswim2 (Mus musculus)
HWER_00078	unitig_0	220473	223145	+	4.93845E-008	1.2650050357	1.980025	Similar to adl1 DNA ligase 3 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00079	unitig_0	226599	227137	-	11.42515	8.42579	6.20719	Similar to rnc1 RNA-binding protein rnc1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00094	unitig_0	274138	279210	+	11.32685	11.02853	10.86033	Similar to cut3 Structural maintenance of chromosomes protein 4 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00096	unitig_0	280590	282843	+	18.52975	19.47005	19.51405	Similar to VPS4 Vacuolar protein sorting-associated protein 4 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
