#GENEID	CHROM	START	END	STRAND	RPKM0	RPKM10	RPKM20	GENEDESC
HWER_00003	unitig_0	4363	6249	-	3.92923	6.58377	9.36467	Similar to exo70 Exocyst complex protein exo70 (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))
HWER_00018	unitig_0	54533	57553	+	1.24861	1.177607	0.85105	Protein of unknown function
HWER_00027	unitig_0	85370	89053	+	27.2039	27.95915	27.4802	Similar to sol1 SWI/SNF chromatin-remodeling complex subunit sol1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00037	unitig_0	113264	113743	+	0.223526	0.745325	1.269525	Similar to UBC4 Ubiquitin-conjugating enzyme E2 4 (Candida albicans)
HWER_00042	unitig_0	125770	127134	+	0.0499256025	0.7245706	1.086985	Protein of unknown function
HWER_00048	unitig_0	146020	146961	-	5.93868	2.010887	0.3757075	Protein of unknown function
HWER_00067	unitig_0	198654	201281	-	9.47752	10.4524	11.7147	Similar to MAN1A2 Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB (Homo sapiens)
HWER_00073	unitig_0	212330	215287	+	83.6187	79.44735	73.46425	Similar to ths1 Threonine--tRNA ligase, cytoplasmic (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00081	unitig_0	234402	240565	+	4.290625	3.789135	3.37736	Similar to ucpA Oxidoreductase UcpA (Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720))
HWER_00086	unitig_0	248078	248592	-	4.49147	9.62214	16.0061	Similar to RSA3 Ribosome assembly protein 3 (Yarrowia lipolytica (strain CLIB 122 / E 150))
HWER_00091	unitig_0	268033	269317	+	6.181275	5.44381	3.64754	Protein of unknown function
HWER_00104	unitig_0	307927	308520	-	28.00735	21.40415	22.7687	Similar to PKR1 V-type ATPase assembly factor PKR1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00128	unitig_0	378647	379749	+	0.387114	2.4446585	4.08575	Protein of unknown function
HWER_00133	unitig_0	395410	396054	-	32.35505	32.67515	34.3444	Similar to OXR1 Oxidation resistance protein 1 (Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084))
HWER_00148	unitig_0	440329	441133	+	3.72081	3.339265	3.50619	Protein of unknown function
HWER_00150	unitig_0	445903	447796	+	69.3931	40.85665	21.82625	Protein of unknown function
