#GENEID	CHROM	START	END	STRAND	RPKM0	RPKM10	RPKM20	GENEDESC
HWER_00008	unitig_0	21146	25612	+	12.25715	13.70565	16.93105	Similar to PEP7 Vacuolar segregation protein PEP7 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00015	unitig_0	46847	48918	+	3.99691	4.22531	4.75483	Similar to SPAC1002.16c Uncharacterized transporter C1002.16c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00019	unitig_0	58315	59892	-	4.257975	6.48373	9.555685	Similar to COG5 Conserved oligomeric Golgi complex subunit 5 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00032	unitig_0	98563	99636	-	1.275066E-007	6.24781E-008	9.00588E-008	Protein of unknown function
HWER_00034	unitig_0	103131	105157	-	20.62735	19.93975	16.31565	Similar to pof7 F-box protein pof7 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00041	unitig_0	121592	123075	-	1.145167	0.7745125	0.526385	Similar to SPCC417.11c Uncharacterized aminotransferase C417.11c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00044	unitig_0	135845	138949	+	13.4011	11.76998	9.19705	Similar to cipB Zinc-binding alcohol dehydrogenase domain-containing protein cipB (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))
HWER_00045	unitig_0	138985	140469	-	1.919405	2.067885	1.463195	Similar to YFL054C Uncharacterized membrane protein YFL054C (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00047	unitig_0	144120	146695	+	3.87381	3.291375	3.135725	Protein of unknown function
HWER_00049	unitig_0	147340	152284	-	11.2969	9.51145	9.22306	Similar to NIK1 Histidine protein kinase NIK1 (Candida albicans (strain SC5314 / ATCC MYA-2876))
HWER_00052	unitig_0	158809	162257	-	31.91485	30.6901	31.9161	Similar to CCR4 Glucose-repressible alcohol dehydrogenase transcriptional effector (Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173))
HWER_00066	unitig_0	194405	197939	-	4.608695	5.320385	6.478165	Protein of unknown function
HWER_00072	unitig_0	209783	211891	+	1.881795	5.90989	9.29256	Similar to SPBC3B8.06 Uncharacterized membrane protein C3B8.06 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00083	unitig_0	240634	242290	-	44.39875	54.12905	66.3123	Similar to YOR052C AN1-type zinc finger protein YOR052C (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00088	unitig_0	253942	255616	+	100.0595	97.88125	81.3322	Similar to PUP1 Proteasome subunit beta type-2 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
HWER_00090	unitig_0	259222	266868	+	10.66848	11.12853	12.80685	Similar to its3 Phosphatidylinositol 4-phosphate 5-kinase its3 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00099	unitig_0	289705	290502	-	16.15935	18.0674	21.6753	Protein of unknown function
HWER_00111	unitig_0	318467	319923	-	372.888	234.5765	141.981	Similar to THR1 Trihydroxynaphthalene reductase (Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422))
HWER_00114	unitig_0	340145	341102	-	149.5395	98.07615	60.7029	Similar to SPAC3H8.07c Probable prefoldin subunit 3 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
HWER_00115	unitig_0	341113	343522	+	2.987235	2.935675	3.09143	Similar to Bche Cholinesterase (Mus musculus)
